# source_file=cooling_tables.hpp
# selected_nH_index=80
# selected_log10_nH=0.00000000
log10_T,primordial_cooling_cgs,metal_cooling_cgs
2.81554460525512695e+00,-3.52315609419181610e-25,6.92018291306619568e-27
2.83543682098388672e+00,-3.51108134544224411e-25,7.14830777423490826e-27
2.85532522201538086e+00,-3.49875292860783698e-25,7.38056028846043156e-27
2.87521767616271973e+00,-3.48616098292727946e-25,7.61698821880538639e-27
2.89510774612426758e+00,-3.47329909890571663e-25,7.85763855796041579e-27
2.91499876976013184e+00,-3.46014977369181389e-25,8.10256292084802935e-27
2.93489241600036621e+00,-3.44670043481489428e-25,8.35182755945831398e-27
2.95478272438049316e+00,-3.43295256138915510e-25,8.60464592400198194e-27
2.97467303276062012e+00,-3.41889777176747836e-25,8.86335840454745260e-27
2.99456810951232910e+00,-3.40394072248545510e-25,9.12582567811250061e-27
3.01443672180175781e+00,-3.38982035880103187e-25,9.39357770344494720e-27
3.03434777259826660e+00,-3.37411611033034458e-25,9.66556446353911244e-27
3.05423021316528320e+00,-3.35924435663369833e-25,9.94285831618803115e-27
3.07412147521972656e+00,-3.34288461405457896e-25,1.02250286234561383e-26
3.09401679039001465e+00,-3.32665232181545935e-25,1.05126924532976157e-26
3.11391019821166992e+00,-3.31012075547042152e-25,1.08057773907465542e-26
3.13379454612731934e+00,-3.29318169316403046e-25,1.11044914362369478e-26
3.15369319915771484e+00,-3.27588222003156655e-25,1.14090710939659671e-26
3.17359423637390137e+00,-3.25815873416254635e-25,1.17197659644544047e-26
3.19348645210266113e+00,-3.24007261879615737e-25,1.20368379741746974e-26
3.21335840225219727e+00,-3.22156101157901480e-25,1.23605798644783920e-26
3.23325014114379883e+00,-3.20266360207541258e-25,1.26913097989923012e-26
3.25314426422119141e+00,-3.18336362699111476e-25,1.30293767562223480e-26
3.27304768562316895e+00,-3.16362953188991251e-25,1.33751597591815878e-26
3.29294252395629883e+00,-3.14347832658507464e-25,1.37287666599469063e-26
3.31283307075500488e+00,-3.12290039683431879e-25,1.40923791519593055e-26
3.33272123336791992e+00,-3.10187183029145543e-25,1.44662437542516667e-26
3.35260701179504395e+00,-3.08036353771060454e-25,1.48502094739163501e-26
3.37250709533691406e+00,-3.05834396465555729e-25,1.52449342086223584e-26
3.39239811897277832e+00,-3.03578106365203906e-25,1.56511205376134040e-26
3.41227579116821289e+00,-3.01264549893513695e-25,1.60703045826131302e-26
3.43216729164123535e+00,-2.98890966037316824e-25,1.65015541935284535e-26
3.45206260681152344e+00,-2.96454914258187763e-25,1.69467860558400281e-26
3.47195148468017578e+00,-2.93954249840540443e-25,1.74068213860761408e-26
3.49185180664062500e+00,-2.91383426106135030e-25,1.78646657784075186e-26
3.51173639297485352e+00,-2.88729328242422224e-25,1.83328408589605895e-26
3.53163218498229980e+00,-2.85991019477077075e-25,1.88186297244130484e-26
3.55152320861816406e+00,-2.83177547058606337e-25,1.93230153694085103e-26
3.57141780853271484e+00,-2.80209926288874755e-25,1.98467712474126414e-26
3.59130954742431641e+00,-2.77304551574945768e-25,2.03890930900806654e-26
3.61119222640991211e+00,-2.74167276406785093e-25,2.09513922188758293e-26
3.63108849525451660e+00,-2.71023641047576072e-25,2.15332202773070797e-26
3.65097737312316895e+00,-2.67785712158289853e-25,2.21365971807000901e-26
3.67086720466613770e+00,-2.64458444771487354e-25,2.27534109121291014e-26
3.69076299667358398e+00,-2.61036661987478063e-25,2.33831021815382634e-26
3.71065044403076172e+00,-2.57512968235275532e-25,2.40226033677121563e-26
3.73054814338684082e+00,-2.53874396613750191e-25,2.46638286463722647e-26
3.75043892860412598e+00,-2.50094101200221238e-25,2.53306934451960114e-26
3.77032899856567383e+00,-2.46113016034410250e-25,2.59656710071165276e-26
3.79022192955017090e+00,-2.42293228271813670e-25,2.65859529531893914e-26
3.81011176109313965e+00,-2.37408108508619402e-25,2.72238086248187998e-26
3.82999825477600098e+00,-2.31358999827868242e-25,2.78906703421546355e-26
3.84989237785339355e+00,-2.23036270758753686e-25,2.86266344258950853e-26
3.86978316307067871e+00,-2.10317638947198330e-25,2.94845360677624907e-26
